id,data,departamento,categoria,valor_orcado,valor_realizado
1,2023-01-05,TI,Software,15000.00,14500.50
2,2023-01-10,Marketing,Marketing Digital,20000.00,22300.00
3,2023-01-15,Vendas,Treinamento,5000.00,4800.00
4,2023-01-20,RH,Pessoal,50000.00,50000.00
5,2023-01-28,Operacoes,Infraestrutura,30000.00,29000.00
6,2023-02-03,TI,Infraestrutura,12000.00,15000.00
7,2023-02-08,Marketing,Eventos,18000.00,17500.00
8,2023-02-12,Vendas,Software,3000.00,3000.00
9,2023-02-18,RH,Treinamento,8000.00,9200.00
10,2023-02-25,Operacoes,Pessoal,45000.00,46500.00
11,2023-03-02,TI,Software,15000.00,14800.00
12,2023-03-09,Marketing,Marketing Digital,20000.00,19000.00
13,2023-03-14,Vendas,Eventos,10000.00,12000.00
14,2023-03-21,RH,Pessoal,50000.00,51000.00
15,2023-03-28,Operacoes,Infraestrutura,30000.00,28500.00
16,2023-04-04,TI,Treinamento,6000.00,5500.00
17,2023-04-11,Marketing,Software,4000.00,4000.00
18,2023-04-16,Vendas,Pessoal,60000.00,60000.00
19,2023-04-22,RH,Eventos,5000.00,4000.00
20,2023-04-29,Operacoes,Software,8000.00,8500.00
21,2023-05-05,TI,Infraestrutura,12000.00,11000.00
22,2023-05-10,Marketing,Marketing Digital,20000.00,25000.00
23,2023-05-17,Vendas,Treinamento,5000.00,6000.00
24,2023-05-24,RH,Pessoal,50000.00,49000.00
25,2023-05-30,Operacoes,Infraestrutura,30000.00,32000.00
26,2023-06-06,TI,Software,15000.00,15000.00
27,2023-06-12,Marketing,Eventos,18000.00,16000.00
28,2023-06-18,Vendas,Software,3000.00,3200.00
29,2023-06-25,RH,Treinamento,8000.00,7500.00
30,2023-06-29,Operacoes,Pessoal,45000.00,45000.00
31,2023-07-03,TI,Treinamento,6000.00,6000.00
32,2023-07-08,Marketing,Marketing Digital,20000.00,18500.00
33,2023-07-15,Vendas,Eventos,10000.00,9000.00
34,2023-07-21,RH,Pessoal,50000.00,52000.00
35,2023-07-28,Operacoes,Software,8000.00,8000.00
36,2023-08-04,TI,Infraestrutura,12000.00,13500.00
37,2023-08-11,Marketing,Software,4000.00,4200.00
38,2023-08-16,Vendas,Pessoal,60000.00,59000.00
39,2023-08-23,RH,Eventos,5000.00,5500.00
40,2023-08-30,Operacoes,Infraestrutura,30000.00,30000.00
41,2023-09-05,TI,Software,15000.00,14000.00
42,2023-09-12,Marketing,Marketing Digital,20000.00,21000.00
43,2023-09-19,Vendas,Treinamento,5000.00,4500.00
44,2023-09-26,RH,Pessoal,50000.00,50000.00
45,2023-10-02,Operacoes,Pessoal,45000.00,48000.00
46,2023-10-10,TI,Treinamento,6000.00,7000.00
47,2023-10-18,Marketing,Eventos,18000.00,19000.00
48,2023-10-25,Vendas,Software,3000.00,2800.00
49,2023-11-05,RH,Treinamento,8000.00,8000.00
50,2023-11-15,Operacoes,Software,8000.00,7500.00
